InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,Stock,Revenue,NetProfit,TotalSales,NetSales,DiscountAmount,TotalPrice,Year,Month,CustomerSegment,Margin,DaysSince,LossFlag
100005,SKU_1312,Notebook,45,2022-01-12 19:00:00,89.78,88722.0,Norway,0.16,Credit Card,26.38,Stationery,Online,Not Returned,UPS,Paris,Low,1312,3393.7,3367.3,4040.1,3393.7,646.4,3420.1,2022,Jan,Platinum,99.2,1444,NO
100015,SKU_1084,USB Cable,2,2021-11-05 16:00:00,38.49,73709.0,Germany,0.18,Paypall,19.34,Electronics,In-store,Not Returned,UPS,Amsterdam,Low,1084,63.1,43.8,77.0,63.1,13.9,82.5,2021,Nov,Bronze,69.4,1512,NO
100037,SKU_1678,Notebook,42,2021-06-05 09:00:00,28.38,55846.0,Netherlands,0.15,Paypall,23.83,Stationery,In-store,Not Returned,Royal Mail,Paris,Low,1678,1013.2,989.3,1192.0,1013.2,178.8,1037.0,2021,Jun,Gold,97.6,1665,NO
100056,SKU_1860,Wall Clock,3,2023-07-01 17:00:00,27.32,20877.0,Italy,0.19,Paypall,16.49,Home Decor,Online,Not Returned,DHL,London,Low,1860,66.4,49.9,82.0,66.4,15.6,82.9,2023,Jul,Bronze,75.2,909,NO
100059,SKU_1058,Desk Lamp,24,2024-10-21 14:00:00,17.62,18268.0,Italy,0.16,Bank Transfer,23.42,Furniture,In-store,Not Returned,Royal Mail,Amsterdam,Medium,1058,355.2,331.8,422.9,355.2,67.7,378.6,2024,Oct,Silver,93.4,431,NO
100064,SKU_1976,USB Cable,46,2021-12-30 21:00:00,33.47,30998.0,Belgium,0.39,Paypall,12.77,Electronics,In-store,Not Returned,UPS,Paris,Low,1976,939.2,926.4,1539.6,939.2,600.5,951.9,2021,Dec,Gold,98.6,1456,NO
100068,SKU_1502,Blue Pen,31,2022-11-24 21:00:00,86.24,71947.0,Norway,0.35,Paypall,28.86,Stationery,Online,Not Returned,UPS,London,High,1502,1737.7,1708.9,2673.4,1737.7,935.7,1766.6,2022,Nov,Platinum,98.3,1127,NO
100126,SKU_1093,Wireless Mouse,5,2020-02-27 19:00:00,31.98,18132.0,United Kingdom,0.27,Bank Transfer,21.83,Electronics,In-store,Not Returned,DHL,Paris,Medium,1093,116.7,94.9,159.9,116.7,43.2,138.6,2020,Feb,Bronze,81.3,2129,NO
100157,SKU_1580,T-shirt,17,2025-07-01 15:00:00,84.9,72935.0,Sweden,0.01,Bank Transfer,7.4,Apparel,Online,Not Returned,UPS,London,High,1580,1428.9,1421.5,1443.3,1428.9,14.4,1436.3,2025,Jul,Gold,99.5,178,NO
100159,SKU_1776,Desk Lamp,25,2020-07-04 02:00:00,57.25,13854.0,Australia,0.23,Credit Card,26.29,Furniture,Online,Not Returned,DHL,London,Medium,1776,1102.1,1075.8,1431.2,1102.1,329.2,1128.4,2020,Jul,Gold,97.6,2001,NO
100181,SKU_1911,Office Chair,33,2025-08-12 10:00:00,71.77,58377.0,Spain,0.14,Bank Transfer,11.67,Furniture,Online,Not Returned,UPS,Paris,Low,1911,2036.8,2025.2,2368.4,2036.8,331.6,2048.5,2025,Aug,Platinum,99.4,136,NO
100184,SKU_1662,T-shirt,30,2023-02-04 09:00:00,61.8,78675.0,Portugal,0.39,Bank Transfer,22.01,Apparel,In-store,Not Returned,Royal Mail,Amsterdam,Low,1662,1130.9,1108.9,1854.0,1130.9,723.1,1153.0,2023,Feb,Gold,98.1,1056,NO
100188,SKU_1844,T-shirt,13,2025-03-10 06:00:00,13.56,94505.0,Spain,0.02,Bank Transfer,17.32,Apparel,Online,Not Returned,FedEx,Berlin,High,1844,172.8,155.4,176.3,172.8,3.5,190.1,2025,Mar,Bronze,90.0,291,NO
100189,SKU_1702,Blue Pen,38,2022-11-12 12:00:00,75.49,23470.0,Italy,0.36,Paypall,11.94,Stationery,Online,Not Returned,DHL,London,Medium,1702,1835.9,1824.0,2868.6,1835.9,1032.7,1847.9,2022,Nov,Platinum,99.3,1140,NO
100203,SKU_1398,Office Chair,26,2024-05-11 18:00:00,66.45,19504.0,Australia,0.2,Paypall,12.58,Furniture,In-store,Not Returned,DHL,Amsterdam,Low,1398,1382.2,1369.6,1727.7,1382.2,345.5,1394.7,2024,May,Gold,99.1,594,NO
100209,SKU_1029,Backpack,2,2021-07-03 00:00:00,79.73,14548.0,Spain,0.37,Bank Transfer,12.97,Accessories,Online,Not Returned,FedEx,London,Medium,1029,100.5,87.5,159.5,100.5,59.0,113.4,2021,Jul,Bronze,87.1,1637,NO
100215,SKU_1951,Backpack,11,2020-12-05 04:00:00,41.59,65952.0,Australia,0.26,Paypall,26.08,Accessories,In-store,Not Returned,Royal Mail,Rome,Low,1951,338.5,312.5,457.5,338.5,118.9,364.6,2020,Dec,Silver,92.3,1847,NO
100229,SKU_1469,Headphones,24,2025-06-06 10:00:00,15.41,24421.0,Belgium,0.4,Paypall,22.84,Electronics,In-store,Not Returned,DHL,Rome,High,1469,221.9,199.1,369.8,221.9,147.9,244.7,2025,Jun,Bronze,89.7,203,NO
100294,SKU_1767,White Mug,39,2021-03-16 15:00:00,13.57,29274.0,Italy,0.0,Credit Card,11.2,Home & Kitchen,In-store,Returned,DHL,Berlin,Low,1767,529.2,518.0,529.2,529.2,0.0,540.4,2021,Mar,Silver,97.9,1746,NO
100318,SKU_1054,USB Cable,38,2023-10-26 01:00:00,55.77,23728.0,France,0.34,Bank Transfer,15.22,Electronics,In-store,Not Returned,DHL,Berlin,Low,1054,1398.7,1383.5,2119.3,1398.7,720.5,1413.9,2023,Oct,Platinum,98.9,792,NO
100357,SKU_1798,Backpack,1,2024-12-23 04:00:00,43.41,10678.0,France,0.16,Credit Card,16.91,Accessories,Online,Returned,Royal Mail,London,High,1798,36.5,19.6,43.4,36.5,6.9,53.4,2024,Dec,Bronze,53.6,368,NO
100404,SKU_1467,White Mug,27,2020-02-08 07:00:00,27.57,22922.0,Spain,0.19,Bank Transfer,9.82,Home & Kitchen,Online,Returned,Royal Mail,Paris,Low,1467,603.0,593.1,744.4,603.0,141.4,612.8,2020,Feb,Silver,98.4,2148,NO
