InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
100005,SKU_1312,Notebook,45,12-01-2022 19:00,89.78,88722,Norway,0.16,Credit Card,26.38,Electronics,Online,Not Returned,UPS,Paris,Low
100015,SKU_1084,USB Cable,2,05-11-2021 16:00,38.49,73709,Germany,0.18,paypall,19.34,Stationery,In-store,Not Returned,UPS,Amsterdam,Low
100037,SKU_1678,Notebook,42,05-06-2021 09:00,28.38,55846,Netherlands,0.15,paypall,23.83,Electronics,In-store,Not Returned,Royal Mail,Paris,Low
100056,SKU_1860,Wall Clock,3,01-07-2023 17:00,27.32,20877,Italy,0.19,paypall,16.49,Stationery,Online,Not Returned,DHL,London,Low
100059,SKU_1058,Desk Lamp,24,21-10-2024 14:00,17.62,18268,Italy,0.16,Bank Transfer,23.42,Apparel,In-store,Not Returned,Royal Mail,Amsterdam,Medium
100064,SKU_1976,USB Cable,46,30-12-2021 21:00,33.47,30998,Belgium,0.39,paypall,12.77,Stationery,In-store,Not Returned,UPS,Paris,Low
100068,SKU_1502,Blue Pen,31,24-11-2022 21:00,86.24,71947,Norway,0.35,paypall,28.86,Accessories,Online,Not Returned,UPS,London,High
100126,SKU_1093,Wireless Mouse,5,27-02-2020 19:00,31.98,18132,United Kingdom,0.27,Bank Transfer,21.83,Electronics,In-store,Not Returned,DHL,Paris,Medium
100157,SKU_1580,T-shirt,17,01-07-2025 15:00,84.9,72935,Sweden,0.01,Bank Transfer,7.4,Stationery,Online,Not Returned,UPS,London,High
100159,SKU_1776,Desk Lamp,25,04-07-2020 02:00,57.25,13854,Australia,0.23,Credit Card,26.29,Electronics,Online,Not Returned,DHL,London,Medium
100181,SKU_1911,Office Chair,33,12-08-2025 10:00,71.77,58377,Spain,0.14,Bank Transfer,11.67,Furniture,Online,Not Returned,UPS,Paris,Low
100184,SKU_1662,T-shirt,30,04-02-2023 09:00,61.8,78675,Portugal,0.39,Bank Transfer,22.01,Accessories,In-store,Not Returned,Royal Mail,Amsterdam,Low
100188,SKU_1844,T-shirt,13,10-03-2025 06:00,13.56,94505,Spain,0.02,Bank Transfer,17.32,Apparel,Online,Not Returned,FedEx,Berlin,High
100189,SKU_1702,Blue Pen,38,12-11-2022 12:00,75.49,23470,Italy,0.36,paypall,11.94,Accessories,Online,Not Returned,DHL,London,Medium
100203,SKU_1398,Office Chair,26,11-05-2024 18:00,66.45,19504,Australia,0.2,paypall,12.58,Stationery,In-store,Not Returned,DHL,Amsterdam,Low
100209,SKU_1029,Backpack,2,03-07-2021 00:00,79.73,14548,Spain,0.37,Bank Transfer,12.97,Apparel,Online,Not Returned,FedEx,London,Medium
100215,SKU_1951,Backpack,11,05-12-2020 04:00,41.59,65952,Australia,0.26,paypall,26.08,Electronics,In-store,Not Returned,Royal Mail,Rome,Low
100229,SKU_1469,Headphones,24,06-06-2025 10:00,15.41,24421,Belgium,0.4,paypall,22.84,Electronics,In-store,Not Returned,DHL,Rome,High
100290,SKU_1850,USB Cable,-21,12-01-2024 22:00,13.23,,Spain,0.32,Bank Transfer,,Accessories,In-store,Returned,DHL,,Medium
100294,SKU_1767,White Mug,39,16-03-2021 15:00,13.57,29274,Italy,0,Credit Card,11.2,Furniture,In-store,Returned,DHL,Berlin,Low
100318,SKU_1054,USB Cable,38,26-10-2023 01:00,55.77,23728,France,0.34,Bank Transfer,15.22,Stationery,In-store,Not Returned,DHL,Berlin,Low
100357,SKU_1798,Backpack,1,23-12-2024 04:00,43.41,10678,France,0.16,Credit Card,16.91,Furniture,Online,Returned,Royal Mail,London,High
100363,SKU_1962,Desk Lamp,-36,26-12-2020 08:00,47.94,,Italy,0.09,Credit Card,,Apparel,Online,Not Returned,FedEx,,Medium
100390,SKU_1936,T-shirt,-13,01-11-2020 20:00,-95.71,,Norway,1.266394863,paypall,,Stationery,In-store,Not Returned,Royal Mail,,High
100404,SKU_1467,White Mug,27,08-02-2020 07:00,27.57,22922,Spain,0.19,Bank Transfer,9.82,Accessories,Online,Returned,Royal Mail,Paris,Low
100415,SKU_1912,T-shirt,1,17-10-2022 13:00,22.7,47573,United Kingdom,0.09,Credit Card,26.13,Accessories,In-store,Not Returned,UPS,Amsterdam,Medium
100434,SKU_1100,Wireless Mouse,34,29-07-2024 03:00,74.21,60774,France,0.34,Bank Transfer,26.81,Accessories,In-store,Not Returned,UPS,Berlin,Medium
100443,SKU_1328,Wall Clock,45,02-07-2025 04:00,51.82,67793,France,0.38,Credit Card,20.71,Accessories,Online,Not Returned,UPS,Paris,High
100503,SKU_1224,Headphones,38,28-12-2024 08:00,63.58,,Spain,0.48,paypall,28.84,Furniture,In-store,Not Returned,UPS,,Low
100515,SKU_1704,T-shirt,44,21-11-2020 15:00,64.06,12440,Norway,0.01,paypall,21.99,Electronics,Online,Not Returned,FedEx,Berlin,Medium
100537,SKU_1438,Blue Pen,18,07-05-2024 20:00,99.69,48614,Germany,0.37,paypall,18.37,Apparel,Online,Not Returned,Royal Mail,Rome,Low
100559,SKU_1113,T-shirt,49,04-06-2021 21:00,94.54,42272,United Kingdom,0.11,Credit Card,17.4,Electronics,In-store,Not Returned,UPS,Berlin,Low
100570,SKU_1474,Wall Clock,42,18-06-2024 13:00,35.12,23834,Belgium,0.44,Credit Card,16.52,Electronics,Online,Not Returned,UPS,Berlin,Medium
100599,SKU_1959,Office Chair,10,23-08-2023 01:00,16.8,55820,United Kingdom,0.45,paypall,29.4,Stationery,Online,Not Returned,UPS,London,Low
100607,SKU_1909,Backpack,27,03-07-2024 11:00,87.13,98293,Belgium,0.38,Bank Transfer,21.02,Furniture,Online,Not Returned,Royal Mail,Amsterdam,Low
100615,SKU_1871,USB Cable,11,05-07-2022 03:00,14.81,78437,United Kingdom,0.32,Credit Card,12.66,Stationery,In-store,Not Returned,Royal Mail,Rome,High
100617,SKU_1429,Wireless Mouse,42,21-04-2024 18:00,10.86,88215,Australia,0.42,Bank Transfer,21.75,Stationery,In-store,Not Returned,FedEx,Amsterdam,High
100637,SKU_1166,Desk Lamp,30,08-02-2023 03:00,25.87,61285,France,0.42,Credit Card,8.56,Electronics,In-store,Not Returned,FedEx,Amsterdam,High
100638,SKU_1669,Backpack,33,03-02-2023 01:00,79.38,34084,Australia,0,Credit Card,19.69,Electronics,In-store,Returned,FedEx,Amsterdam,Medium
100654,SKU_1420,Office Chair,40,04-01-2021 12:00,78.1,43575,United Kingdom,0.22,Credit Card,6.55,Furniture,In-store,Not Returned,UPS,London,Medium
100727,SKU_1334,Wall Clock,11,07-03-2021 12:00,91.01,91019,Italy,0.35,Bank Transfer,25.22,Accessories,In-store,Not Returned,Royal Mail,Berlin,High
100799,SKU_1336,Desk Lamp,33,16-07-2021 22:00,55.24,40141,Netherlands,0.18,paypall,16.43,Apparel,Online,Not Returned,UPS,Rome,Low
100801,SKU_1306,Office Chair,46,03-05-2021 18:00,25.35,53963,Belgium,0.31,Bank Transfer,22.33,Electronics,Online,Not Returned,DHL,London,High
100814,SKU_1288,Wall Clock,16,11-01-2023 17:00,33.21,96572,Portugal,0.46,Bank Transfer,19.19,Accessories,In-store,Returned,FedEx,Paris,High
100819,SKU_1209,Blue Pen,43,04-02-2025 18:00,8.77,98499,United States,0.07,paypall,7.89,Apparel,Online,Not Returned,Royal Mail,Paris,Medium
100825,SKU_1051,Wireless Mouse,8,06-02-2025 07:00,86.96,,United Kingdom,0.48,paypall,13.76,Apparel,Online,Not Returned,FedEx,Paris,Medium
100837,SKU_1868,Headphones,25,22-09-2024 17:00,25.96,54558,Germany,0.09,Credit Card,29.54,Accessories,Online,Returned,UPS,Berlin,Medium
100882,SKU_1799,Blue Pen,33,26-12-2020 19:00,30.68,31728,United States,0.33,paypall,20.92,Stationery,Online,Not Returned,Royal Mail,Rome,High
100901,SKU_1113,T-shirt,12,18-11-2020 18:00,1.08,91928,Netherlands,0.31,Bank Transfer,15.69,Stationery,Online,Not Returned,FedEx,London,Medium
100903,SKU_1418,Desk Lamp,5,11-03-2022 21:00,35.67,,France,0.26,Credit Card,21.28,Apparel,Online,Returned,UPS,Paris,Medium
100917,SKU_1944,Backpack,36,04-09-2020 04:00,90.3,97311,United States,0.11,Credit Card,6.42,Electronics,In-store,Not Returned,UPS,London,Medium
100944,SKU_1639,Wireless Mouse,7,01-11-2021 07:00,90.27,57199,Sweden,0.43,Credit Card,21.38,Furniture,In-store,Not Returned,UPS,Amsterdam,Low
100969,SKU_1622,T-shirt,7,16-06-2023 00:00,58.87,,Germany,0.44,Credit Card,11.27,Electronics,Online,Not Returned,DHL,,High
101006,SKU_1559,Blue Pen,1,11-08-2025 21:00,31.75,23918,Netherlands,0.03,Bank Transfer,24.01,Furniture,Online,Not Returned,UPS,Paris,Low
101010,SKU_1826,Headphones,32,08-05-2022 19:00,30.39,28277,Netherlands,0.37,Bank Transfer,29.89,Stationery,In-store,Not Returned,UPS,Paris,Medium
101049,SKU_1300,Blue Pen,29,10-10-2021 12:00,91.37,11207,Sweden,0.43,Bank Transfer,23.06,Accessories,Online,Not Returned,UPS,Rome,High
101051,SKU_1948,Notebook,13,22-09-2020 00:00,98.08,78297,Belgium,0.25,Credit Card,5.48,Apparel,In-store,Not Returned,UPS,Rome,Medium
101062,SKU_1594,White Mug,-32,16-02-2020 10:00,-29.62,,Italy,0.26,paypall,,Electronics,Online,Returned,FedEx,,Low
101063,SKU_1304,Notebook,2,26-05-2024 09:00,51.78,83677,Belgium,0.07,paypall,10.94,Stationery,In-store,Not Returned,Royal Mail,Rome,Medium
101067,SKU_1271,Headphones,8,05-06-2024 11:00,20.32,98610,France,0.04,paypall,25.34,Electronics,Online,Not Returned,Royal Mail,Berlin,High
101076,SKU_1904,Backpack,40,24-10-2023 23:00,71.88,40962,Italy,0.29,Credit Card,21.78,Stationery,Online,Not Returned,UPS,London,Low
101082,SKU_1031,Notebook,23,03-02-2022 17:00,39.3,83462,Australia,0.34,Bank Transfer,18.34,Furniture,In-store,Not Returned,FedEx,Paris,High
101083,SKU_1028,Wall Clock,36,10-06-2023 21:00,77.86,67186,Belgium,0.11,Credit Card,5.39,Stationery,Online,Not Returned,DHL,Berlin,Low
101085,SKU_1170,Wall Clock,34,18-11-2022 08:00,49.13,36887,Netherlands,0.32,Credit Card,28.13,Electronics,Online,Not Returned,DHL,Amsterdam,Medium
101095,SKU_1186,Notebook,34,07-07-2021 20:00,39.42,66347,United States,0.08,Bank Transfer,29.67,Furniture,In-store,Not Returned,UPS,Amsterdam,High
101132,SKU_1789,Blue Pen,15,14-02-2021 20:00,70.54,53722,France,0.26,paypall,19.2,Accessories,In-store,Not Returned,DHL,Berlin,Medium
101147,SKU_1292,Backpack,31,22-11-2024 07:00,41.59,66117,Belgium,0.01,Bank Transfer,23.67,Stationery,Online,Not Returned,Royal Mail,Paris,Medium
101177,SKU_1571,T-shirt,29,10-01-2024 05:00,2.53,50317,United Kingdom,0.11,Bank Transfer,27.35,Furniture,Online,Not Returned,FedEx,Amsterdam,Low
101207,SKU_1421,Blue Pen,33,04-11-2023 18:00,41.6,55291,Spain,0.1,Bank Transfer,26.03,Accessories,Online,Not Returned,FedEx,London,Low
101223,SKU_1265,Wireless Mouse,23,30-06-2022 11:00,91.09,44311,Spain,0.03,paypall,9.25,Accessories,Online,Not Returned,DHL,Berlin,Low
101229,SKU_1089,Blue Pen,32,07-08-2024 15:00,36.25,29069,Australia,0.21,paypall,8.25,Electronics,Online,Not Returned,DHL,Berlin,Medium
101252,SKU_1486,Wireless Mouse,45,10-02-2020 12:00,45.16,94427,Netherlands,0.36,paypall,6.78,Stationery,In-store,Not Returned,UPS,London,Medium
